Station,Station_No,Jan_O,Jan_I,Feb_O,Feb_I,Mar_O,Mar_I,Apr_O,Apr_I,May_O,May_I,Jun_O,Jun_I,Jul_O,Jul_I,Aug_O,Aug_I,Sep_O,Sep_I,Oct_O,Oct_I,Sum_O,Sum_I,Avg_O,Avg_I
劍潭,R15,23636,24103,22895,23336,27099,27336,25952,26161,13361,13530,4276,4466,6145,6388,10868,11127,14050,14245,20518,20504,168800,171196,16880,17120
士林,R16,24500,24845,23891,23967,28661,29335,26032,26733,14006,14301,5459,5363,7515,7399,12086,11941,15551,15874,20832,21643,178533,181401,17853,18140
芝山,R17,21408,21447,20250,20168,22911,23118,22391,22510,12837,12816,5626,5553,7598,7453,12117,11931,14321,14256,17488,17416,156947,156668,15695,15667
明德,R18,10902,11253,9734,10084,12042,12410,11798,12141,6659,6825,2868,2926,3969,4046,6082,6201,8090,8403,9371,9706,81515,83995,8152,8400
石牌,R19,27422,26615,24564,23877,30200,29309,29220,28452,16321,15869,7276,7073,9909,9628,14960,14516,18566,18088,22557,21999,200995,195426,20100,19543
唭哩岸,R20,6398,6796,5955,6415,6710,7182,6611,7064,3920,4182,1818,1931,2446,2633,3762,4007,4540,4829,5371,5696,47531,50735,4753,5074
奇岩,R21,7150,8190,6720,7731,7717,8780,7460,8497,4386,4971,2019,2256,2723,3035,4249,4758,5064,5693,5777,6569,53265,60480,5327,6048
北投,R22,17620,16751,16187,15479,19055,18036,18610,17758,10516,9979,4320,4131,5801,5539,9233,8789,12332,11502,14822,13961,128496,121925,12850,12193
新北投,R22A,5728,5959,5559,5682,5222,5573,5149,5485,2335,2466,770,737,1064,1023,1831,1785,2669,3018,3779,4063,34106,35791,3411,3579
復興崗,R23,3518,3530,3440,3424,3780,3831,3600,3653,2162,2187,1105,1093,1418,1423,2071,2076,2468,2476,2831,2877,26393,26570,2639,2657
忠義,R24,2864,2755,2661,2582,3141,3056,2902,2826,1814,1770,916,886,1230,1193,1861,1811,2108,2073,2427,2395,21924,21347,2192,2135
關渡,R25,11326,11098,10670,10558,13270,12993,13112,12816,6984,6829,2523,2535,3529,3530,6086,6046,8154,7946,10594,10338,86248,84689,8625,8469
竹圍,R26,8811,8407,8074,7875,9413,9035,9222,8930,5473,5282,2617,2544,3526,3420,5237,5080,6412,6129,7573,7318,66358,64020,6636,6402
紅樹林,R27,11388,10203,12008,10565,13136,11871,12997,11601,7070,6438,3162,2962,4382,4105,6863,6366,8135,7426,10054,9165,89195,80702,8920,8070
淡水,R28,28185,31070,30738,33982,32054,35061,32582,35578,16912,18329,6655,7129,9353,10080,15800,17119,19808,21422,26837,29039,218924,238809,21892,23881
十四張,Y08,1055,1183,913,971,1201,1391,1204,1370,676,752,298,307,412,423,637,656,925,1069,1051,1183,8372,9305,837,931
秀朗橋,Y09,2413,2292,2246,2167,2477,2356,2466,2340,1362,1299,590,561,880,842,1405,1327,1636,1510,2025,1930,17500,16624,1750,1662
景平,Y10,3536,3190,3234,2983,3680,3283,3611,3255,2121,1890,1018,911,1432,1302,2167,1963,2503,2247,3007,2725,26309,23749,2631,2375
中和,Y12,4499,4415,4172,4114,4721,4610,4693,4581,2628,2570,1227,1185,1813,1762,2787,2717,3147,3054,3848,3773,33535,32781,3354,3278
橋和,Y13,1956,1912,1642,1612,1972,1971,1885,1881,1196,1201,622,632,907,933,1338,1365,1444,1475,1631,1645,14593,14627,1459,1463
中原,Y14,2556,2562,2207,2221,2861,2850,2723,2717,1712,1701,861,871,1293,1326,1932,1969,2089,2084,2327,2344,20561,20645,2056,2065
板新,Y15,2467,2455,2144,2135,2689,2644,2603,2588,1534,1504,700,684,999,981,1515,1499,1800,1771,2135,2129,18586,18390,1859,1839
Y板橋,Y16,7373,7531,7115,7314,7919,8044,8214,8392,4306,4353,1515,1496,2432,2438,4227,4336,4803,4871,6400,6524,54304,55299,5430,5530
新埔民生,Y17,2211,2061,1976,1826,2358,2129,2313,2115,1299,1189,591,554,840,788,1304,1192,1382,1248,1873,1701,16147,14803,1615,1480
幸福,Y19,3488,3263,3261,3057,3776,3494,3754,3491,2086,1933,931,869,1362,1273,2140,2010,2508,2295,2986,2731,26292,24416,2629,2442
新北產業園區,Y20,3694,3638,3291,3243,3963,3869,3932,3847,2287,2244,1167,1178,1637,1642,2471,2464,2680,2619,3281,3216,28403,27960,2840,2796
